name	rva	size	record
Streamline::UpdateConstants	0x51460	4537	0x1110
Streamline::UpdateDLSSG	0x52620	2724	0x1110
Streamline::UpdateReflex	0x530d0	611	0x1110
Streamline::UpscaleD3D12	0x53340	3744	0x1110
Streamline::ValidateConstantsForFrame	0x541e0	206	0x1110
`Upscaling::EnsureFrameGenerationPatchResources'::`2'::<lambda_1>::operator()	0x5faf0	138	0x110f
`Upscaling::Upscale'::`2'::<lambda_1>::operator()	0x5fb80	138	0x110f
`Upscaling::Upscale'::`2'::<lambda_8>::operator()	0x5fc10	1662	0x110f
`Upscaling::Upscale'::`2'::<lambda_9>::operator()	0x60290	422	0x110f
Upscaling::AdvanceDeferredResourceReleases	0x60a80	638	0x1110
Upscaling::CaptureD3D12FSRInputs	0x61840	2275	0x1110
Upscaling::CaptureDLSSGInputs	0x62130	7141	0x1110
Upscaling::CaptureNRAfterSRGuides	0x63d20	1710	0x1110
Upscaling::CaptureNRMotion	0x643d0	1514	0x1110
Upscaling::ClearFeatureRequestFailure	0x64c60	74	0x1110
Upscaling::CopyDepth	0x64ea0	1107	0x1110
Upscaling::CopyFrameGenerationBuffers	0x65300	1098	0x1110
Upscaling::CopyPipboyMaskForSR	0x65750	845	0x1110
Upscaling::DeferNRUntilPresent	0x66280	19	0x1110
Upscaling::DestroyUpscalingResources	0x66650	4280	0x1110
Upscaling::EnsureFrameGenerationPatchResources	0x678e0	1060	0x1110
Upscaling::EnsureNRGuideResources	0x67d10	2310	0x1110
Upscaling::EvaluateD3D12DLSS	0x68af0	3378	0x1110
Upscaling::EvaluateD3D12FSR	0x69830	1332	0x1110
Upscaling::EvaluateFSRFrameGeneration	0x69d70	745	0x1110
Upscaling::GetCopyDepthToFrameGenerationCS	0x6a7a0	288	0x1110
Upscaling::GetOverrideDepthCS	0x6adf0	288	0x1110
Upscaling::InstallHighFPSPhysicsFixCompatibility	0x6b4d0	1078	0x1110
Upscaling::InstallHooks	0x6b910	5865	0x1110
Upscaling::LoadSettings	0x6d8c0	3787	0x1110
Upscaling::OnD3D12TemporalSuspend	0x6e9f0	291	0x1110
Upscaling::OnDataLoaded	0x6eb20	63	0x1110
Upscaling::OnNRPresentComplete	0x6eb60	115	0x1110
Upscaling::OverrideDepth	0x6efb0	421	0x1110
Upscaling::OverrideRenderTargets	0x6f160	2270	0x1110
Upscaling::OverrideSamplerStates	0x6fa40	182	0x1110
Upscaling::PatchSSRShader	0x6fb00	516	0x1110
Upscaling::PostFrameGenerationAlpha	0x6fd10	1200	0x1110
Upscaling::PreFrameGenerationAlpha	0x701c0	728	0x1110
Upscaling::ProcessEvent	0x704a0	244	0x1110
Upscaling::ReloadSettingsIfChanged	0x70730	171	0x1110
Upscaling::ReportFeatureRequestFailure	0x707e0	1274	0x1110
Upscaling::ResetDepth	0x70ea0	147	0x1110
